COLUMN_1,COLUMN_2
001DEWITT WARD 1,001DEWITT 1
001DEWITT WARD 2,001DEWITT 2
001DEWITT WARD 3,001DEWITT 3
001STUTTGART WARD 1,001STUTTGART 1
001STUTTGART WARD 2,001STUTTGART 2
001STUTTGART WARD 3,001STUTTGART 3
003CROSSROADS,003CROSS ROADS
003FH CITY,003FOUNTAIN HILL CITY
003FH RURAL,003FOUNTAIN HILL RURAL
003HBG RURAL/BC/MIST,003HAMBURG RURAL/BEECH CREEK/MIST
003MONTROSE RRL/BOY/SNY/TRA,003MONTROSE RURAL/BOYDELL/SNYDER-TRAFALGAR
003MT ZION,003MT. ZION
003VOTECH,003VO - TECH
04530 HARVE,045HARVE
04531 MATTHEWS,045MATTHEWS
04532 MOUNTAIN,045MOUNTAIN
04533 MT VERNON,045MT VERNON
04534 NEWTON,045NEWTON
04535 WILSON,045WILSON
04536 PINEMTN,045PINE MOUNTAIN
04537 UNION,045UNION
04538 WALKER,045WALKER
04539 PALARM,045PALARM
04541 1C-N,045CONWAY 1-C-NORTH
04542 1C-S,045CONWAY 1-C-SOUTH
04543 1E-E,045CONWAY 1E-EAST
04544 1E-W,045CONWAY 1E-WEST
04545 3E,045CONWAY 3E
04546 3C-W,045CONWAY 3C-WEST
04548 ECADC,045EAST CADRON C
04549 2C,045CONWAY 2C
04550 3D,045CONWAY 3D
04553 3F,045CONWAY 3F
04554 3G,045CONWAY 3G
04555 HARDINCW,045HARDIN CITY- WEST
0471-A OZARK WD. 1,0471-A
0471-B OZARK WD. 2,0471-B
0471-C OZARK RURAL,0471-C
0472-A OZARK WD. 3,0472-A
0472-B OZARK RURAL,0472-B
0472-C LONELM/CRAVENS,0472-C
0472-D WALLACE/IVY,0472-D
0472-E OZARK WD. 3,0472-E
0473-A LONELM/CRAVENS,0473-A
0473-B FERN,0473-B
0473-C BOSTON,0473-C
0473-D JETHRO,0473-D
0473-E WATALULA,0473-E
0473-F MOUNTAIN,0473-F
0474-A PHILPOT,0474-A
0474-B WATALULA,0474-B
0474-C W.V. RURAL,0474-C
0474-D OZARK RURAL,0474-D
0475-A WALLACE/IVY,0475-A
