COLUMN_1,COLUMN_2
029021 - UNION,029UNION
029022 - BENTLEY RURAL,029BENTLEY RURAL
029023 - WASHINGTON WEST,029WASHINGTON WEST
029024 - BIRD,029BIRD
029025 - CATHOLIC POINT,029CATHOLIC POINT
029026 - PETIT JEAN,029PETIT JEAN
029027 - NICHOLS,029NICHOLS
029028 - OLD HICKORY,029OLD HICKORY
029029 - MORRILTON WARD 1,029MORRILTON WARD 1
029030 - WELBOURNE EAST,029WELBOURNE EAST
029031 - MENIFEE RURAL,029MENIFEE RURAL
0311,03101
0312,03102
0313,03103
0314,03104
0315,03105
0316,03106
0317,03107
0318,03108
0319,03109
039101 - DISTRICT 1,039DISTRICT 1 (101)
039201 - DISTRICT 2,039DISTRICT 2 (201)
039301 - DISTRICT 3,039DISTRICT 3 (301)
039401 - DISTRICT 4,039DISTRICT 4 (401)
04101 - BOWIE W1,041BOWIE 1
04102 - BOWIE W2,041BOWIE 2
04103 - BOWIE W3,041BOWIE 3
04104 - BOWIE RURAL,041BOWIE RURAL
04105 - CLAYTON MCARTHUR,041CLAYTON MCARTHUR
04106 - CLAYTON REED,041CLAYTON REED
04107 - CLAYTON TILLAR,041CLAYTON TILLAR
04108 - FRANKLIN,041FRANKLIN
04109 - HALLEY,041HALLEY
04110 - JEFFERSON,041JEFFERSON
04111 - MISSISSIPPI,041MISSISSIPPI
04112 - MITCHEVILLE,041MITCHELLVILLE
04113 - RAND W1,041RANDOLPH 1
04114 - RAND W2,041RANDOLPH 2
04115 - RAND W3,041RANDOLPH 3
04116 - RAND W4,041RANDOLPH 4
04117 - RAND RURAL,041RANDOLPH RURAL
04118 - REDFORK,041RED FORK
04119 - RICHLAND,041RICHLAND
04120 - SILVER LAKE,041SILVER LAKE
04121 - WALNUT LAKE,041WALNUT LAKE
04301 - WARD 1,043MONTICELLO WARD 1
04302 - WARD 2,043MONTICELLO WARD 2
04303 - WARD 3,043MONTICELLO WARD 3
04304 - WARD 4,043MONTICELLO WARD 4
04305 - COLLINS,043COLLINS
04306 - ENON,043ENON
04307 - JEROME,043JEROME
04308 - LACEY,043LACEY
04309 - MAR N BOX 1,043MARION NORTH BOX 1
04310 - MAR N BOX 2,043MARION NORTH BOX 2
04311 - MARION SOUTH,043MARION SOUTH
04312 - OZMENT,043OZMENT
04313 - PLANTERSVILLE,043PLANTERSVILLE
04314 - SELMA,043SELMA
04315 - TILLAR,043TILLAR
04316 - WILMAR,043WILMAR
04317 - WINCHESTER,043WINCHESTER
